title,authors,year,keywords,document_type,source,source_file,doi,journal,document_type_enhanced,repository
Resilient solar microgrid management using multi-agent reinforcement learning and quantum-based action selection,Singh I.; Pavithra S.; Rajesh K.,2025,Agentic frameworks; Energy management; Energy resource allocation; Game theory; Grid reliability; Reinforcement learning; Soft computing,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.rineng.2025.107633,Results in Engineering,Article,
LogiFusion: a semantic-kinetic-dynamic expert system for closed-loop intralogistics decision intelligence,Zhao X.; He J.; Yang Y.; Yu J.; Hong S.,2026,Digital twin; Human activity recognition; Intralogistics; Knowledge graph; Large language models; Neuro-symbolic AI,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.eswa.2026.131147,Expert Systems with Applications,Article,
From Concept to Execution: An AI-Agentic Decision Intelligence Framework for Product Planning and Concept Development,Murat A.; Chinnam R.B.; Rana S.; Rapp S.H.; Hansen K.; Richman T.A.; Bechtel J.E.,2025,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.4271/2025-01-0455,SAE Technical Papers,Conference paper,
An explainable artificial intelligence approach for synergistic flood risk governance by decoupling hydrological process and spatial heterogeneity,Lu J.; Jiao S.; Guo Q.; Zhu X.,2026,Explainable AI; Hydrological processes; Multi-scale governance; SHAP interpretability; Urban flood risk,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.jhydrol.2026.135136,Journal of Hydrology,Article,
The Scenario Function Contributing to Software Safety and Security,Kaneko T.; Ohno K.; Okada I.; Kameda T.,2025,Buffer Overflow; LYEE; Safety; Security; The Scenario Function,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3233/FAIA250506,Frontiers in Artificial Intelligence and Applications,Conference paper,
Decision intelligence-driven predictive modelling of air quality index in surface mining,Kamran M.; Jiskani I.M.; Wang Z.; Zhou W.,2024,Air; Coal; K-means clustering; Random forest; Surface mining,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.engappai.2024.108399,Engineering Applications of Artificial Intelligence,Article,
Intelligent decision model of road maintenance based on improved weight random forest algorithm,Han C.; Ma T.; Xu G.; Chen S.; Huang R.,2022,analytic hierarchy process; correlation analysis; decision intelligence; Pavement maintenance; random forest,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/10298436.2020.1784418,International Journal of Pavement Engineering,Article,
Innovative Strategies in Employee Turnover Management: A Systematic Review of Best Practices and Their Impact on Employee Retention in the Hospitality Industry,Laksmi I.A.N.W.; Tobing D.S.K.; Setyanti S.W.L.H.; Handriyono H.,2026,Employee Retention; Employee Turnover; Hospitality Industry,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.32479/irmm.22759,International Review of Management and Marketing ,Article,
Performance Optimization of IRS-Assisted NOMA Systems Using Deep Learning Techniques,Katta K.; Mishra R.C.; Saharia N.; Nagesh Ch.,2025,Deep Learning; Intelligent Reflecting Surface; Non-Orthogonal Multiple Access System; User Clustering; Wireless Networks,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/SILCON67893.2025.11326991,"Conference Proceedings - 2025 IEEE Silchar Subsection Conference, IEEE SILCON 2025",Conference paper,
Epistemological role of human reasoning in data-informed decision-making,Zaimoglu A.K.; Pratt L.; Fisher B.,2023,artificial intelligence; decision intelligence; decision-making; epistemology; intuition; objectivity; reasoning; socio-technical systems,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3389/fcomm.2023.1250301,Frontiers in Communication,Article,
Global-to-Local Decision Intelligence Using a Cross-Reality VR Platform and Satellite Earth Observation,Rathnasabapathy M.; Connolly R.; De Bonet L.; Newman D.,2025,,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MPRV.2025.3614097,IEEE Pervasive Computing,Article,
Social Signal-Driven Knowledge Automation: A Focus on Social Transportation,Lu H.; Zhu Y.; Yuan Y.; Gong W.; Li J.; Shi K.; Lv Y.; Niu Z.; Wang F.-Y.,2021,Cyber-physical-social systems (CPSSs); decision intelligence; intelligent transportation systems (ITSs); knowledge automation; social transportation,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/TCSS.2021.3057332,IEEE Transactions on Computational Social Systems,Article,
Securing Quadruped Robotics in Search and Rescue: Identifying Vulnerabilities and Enhancing Decision Intelligence,Herbert P.S.; Kaneko T.,2025,Decision Intelligence; Penetration testing; Quadruped robots; Search and Rescue; Vulnerabilities,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3233/FAIA250561,Frontiers in Artificial Intelligence and Applications,Conference paper,
Threshold-free frequency-utility skyline sequential pattern mining with non-overlapping occurrence semantics,Zhang W.; Tang S.; Shen Y.; Yang B.; Yu G.; Wang X.,2026,Data indexing; Decision intelligence; High-utility sequences; Sequential pattern mining; Skyline frontier; Threshold-free mining,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.eswa.2026.132227,Expert Systems with Applications,Article,
Research on an Algorithmic Bias Identification Framework for Decision Intelligence Systems in Social Welfare; [社会福利场景下情报决策系统算法偏见识别框架研究],Ling C.; Junqi G.; Zixin H.,2025,algorithmic bias; identification framework; intelligence cycle; intelligence decision systems; social welfare,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3969/j.issn.1008-0821.2025.12.003,Journal of Modern Information,Article,
Strategic Decision Intelligence: Safeguarding Product Development Success in Complex Engineering Landscapes,Murat A.; Chinnam R.B.; Rana S.; Rapp S.H.; Dunn A.; Renke R.J.; Bechtel J.E.; Hansen K.D.,2024,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.4271/2024-01-4087,SAE Technical Papers,Conference paper,
A Hybrid K-Means Optimization Framework for Intelligent Hotel Management Systems,Li X.; Tang L.,2025,genetic algorithm; hotel management systems; k-means optimization; technique for order of preference by similarity to ideal solution; temporal behavioral pattern encoding,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/IC3IT66137.2025.11341652,"International Conference on Communication, Computer and Information Technology, IC3IT 2025",Conference paper,
CLERC: A Dataset for U. S. Legal Case Retrieval and Retrieval-Augmented Analysis Generation,Hou A.B.; Weller O.; Qin G.; Yang E.; Lawrie D.; Holzenberger N.; Blair-Stanek A.; Van Durme B.,2025,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.18653/v1/2025.findings-naacl.441,"2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Proceedings of the Conference Findings, NAACL 2025",Conference paper,
Q3-Premium - DIGI&MET solution for decision intelligence in quality management,Cestari L.; Verbanac G.; Madotto G.; Ometto M.,2021,Decision intelligence; Industrial iot; PDCA; Predictive quality; Quality management; Statistical process control,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.33313/382/194,AISTech - Iron and Steel Technology Conference Proceedings,Conference paper,
FlowTune: Practical Multi-armed Bandits in Boolean Optimization,Yu C.,2020,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1145/3400302.3415615,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD",Conference paper,
Data and Decision Intelligence for Internet of Things: Putting Human in the Loop,Ma M.; Lin W.; Pan D.; Wang P.; Zhou Y.; Liang X.,2017,data intelligence; data mining; decision-making; human-in-the-loop; Internet of Things,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/BigDataSecurity.2017.49,"Proceedings - 3rd IEEE International Conference on Big Data Security on Cloud, BigDataSecurity 2017, 3rd IEEE International Conference on High Performance and Smart Computing, HPSC 2017 and 2nd IEEE International Conference on Intelligent Data and Security, IDS 2017",Conference paper,
Application and Prospect of Hybrid Human-machine Decision Intelligence in the Dispatch and Control of Next-era Power Systems; [人机混合增强决策智能在新型电力系统调控中的应用与展望],Li P.; Huang W.; Liang L.; Dai Z.; Cao S.; Che L.; Tu C.,2024,grid operation & control; human-computer interaction; human-in-the-loop; hybrid human-machine; intelligent decision; power system dispatch; reinforcement learning,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.13334/j.0258-8013.pcsee.231797,Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,Article,
Augmenting processes with decision intelligence: Principles for integrated modelling,Hasić F.; De Smedt J.; Vanthienen J.,2018,BPMN; Decision modelling; DMN; Integrated modelling; Process modelling; Separation of concerns,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.dss.2017.12.008,Decision Support Systems,Article,
Strategic Intelligence and Growth Management: a Bibliometric Analysis of Research Trends (2016–2025),Azzaoui I.E.; Douhabi E.M.; Drissi Z.,2025,Bibliometric analysis; Decision intelligence; Growth management; Science mapping; Strategic intelligence,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.37380/jisib.v15i2.3042,Journal of Intelligence Studies in Business,Article,
Graph-Convolved Factorization Machines for Personalized Recommendation,Zheng Y.; Wei P.; Chen Z.; Cao Y.; Lin L.,2023,Factorization machines; finance product recommendation system; graph-convolved factorization machines; multi-feature interaction,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/TKDE.2021.3100564,IEEE Transactions on Knowledge and Data Engineering,Article,
Analysis Model to Identify the Regional “Strategic Bets” of Startup Porto’s Network,Roth C.; Pereira C.; Pedrosa R.; Roth M.,2021,Decision intelligence; Economic development; Entrepreneurial ecosystems,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-030-85969-5_17,IFIP Advances in Information and Communication Technology,Conference paper,
On Information Fusion by Fuzzy Sets for Decision Making in Peer Review; [基于模糊集合的评审决策信息融合],Wang L.; Li G.; Dai Y.; Fu X.,2023,Consensus; Fuzzy sets; Peer review,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3866/PKU.WHXB202210029,Chinese Journal of Inorganic Chemistry,Review,
IoT-Driven Microgrids Manage Power Supply in Emergency Shelters,Pandey A.; Balassem Z.; Goshteeswaran S.; Neethu V.K.; Kannan A.S.; Masooda; Dilli Ganesh V.,2025,IoT and adaptive algorithms; IoT-driven; microgrid system; MQTT and LoRa; natural disasters; renewable energy,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/INSPIRE67328.2025.11300553,"Proceedings of 2025 International Conference on Intelligent Systems and Pioneering Innovations in Robotics and Electric Mobility: Transforming Mobility and Automation Through Intelligent Engineering, INSPIRE 2025",Conference paper,
Gamers’ Total Experience and Game Motivation for Further Education Digital Manpower,Pornpongtechavanich P.; Nilsook P.; Wannapiroon P.,2023,confirmatory factor analysis; education digital manpower; gamers; motivation; total experience,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3991/ijet.v18i05.36877,International Journal of Emerging Technologies in Learning,Article,
Operationalizing Analytics with NewSQL,Chereja I.; Hahn S.M.L.; Matei O.; Avram A.,2021,Data analysis; Database systems; HTAP; Map reduce; NewSQL; OLAP; OLTP; Realtime analytics; Streaming; Timestamp,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-030-77442-4_21,Lecture Notes in Networks and Systems,Conference paper,
Model Context Protocol Business Analyst (MCP-BA): A Governed and Explainable Framework for Enterprise Analytics : erationalizing Identity-Aware Reasoning and Context-Driven Decision Intelligence in Enterprise AI,Patel T.P.; Shivam S.; Padhy A.K.; Vulugunda B.; Kulkarni C.; Medicherla C.,2025,Auditability; Business Analytics; Context Management; Enterprise AI; Explainable AI; Governance; MCP; Model Context Protocol; Responsible AI; Vector Databases,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICCA66035.2025.11431093,"International Conference on Computer and Applications, ICCA 2025 - Proceedings",Conference paper,
AI in Hyper Automation: From RPA to Intelligent Automation Ecosystems,Macha K.B.,2025,AI; business process optimization; cognitive technologies; decision intelligence; digital transformation; hyperautomation; intelligent automation; ML; RPA; scalability,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICNSoC66817.2025.00074,"Proceedings - 2025 2nd International Conference on Networks and Soft Computing, ICNSoC 2025",Conference paper,
Real-Time ERP-Integrated Adaptive Decision Intelligence Architecture for Enterprise-Scale Supply Chains,Chakraborty A.,2025,Adaptive Supply Chains; Decision Intelligence; ERP Integration; Mixed-Integer Linear Programming (MILP); Real-Time Decision-Making; Supply Chain Optimization; Transformer Forecasting,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICIIET65921.2025.11378779,"2025 International Conference on Intelligent Innovations in Engineering and Technology, ICIIET 2025",Conference paper,
Human Capital Decision Intelligence (HCDI) architecture microbiology laboratory based on machine learning and operations research models,Trihandaru S.; Susetyo Y.A.; Parhusip H.A.; Susanto B.,2025,Human resource management; Machine learning; Operations research; Optimization; Personnel assignment,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.26555/ijain.v11i4.1676,International Journal of Advances in Intelligent Informatics,Article,
Critical El Paso Force Main with High Consequence of Failure Undergoes Multi-Faceted Condition Assessment,Schaaf G.; Antilla M.; Lopez F.; Hernandez I.; Ancell M.,2020,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1061/9780784483206.004,"Pipelines 2020: Condition Assessment, Construction, Rehabilitation, and Trenchless Technologies - Proceedings of Sessions of the Pipelines 2020 Conference",Conference paper,
Adaptive Semantic Integrity and Privacy Shielding in Agentic AI Networks for Trustworthy 6G Cognitive Communication System,Senbagavalli M.; Debnath S.; Vaneeta M.; Arumugam T.; Beena B.M.; Prajapat S.,2026,,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MCOMSTD.2026.3661577,IEEE Communications Standards Magazine,Article,
Enhancing Wireless Sensor Network Security with Machine Learning,Tam V.N.N.; Thanh C.T.,2024,IoT; Machine Learning; Security; Wireless Sensor Networks,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-031-70300-3_45,Lecture Notes in Networks and Systems,Conference paper,
Q3-Premium — DIGI&MET Solution for Decision Intelligence in Quality Management,Cestari L.; Verbanac G.; Madotto G.; Ometto M.,2021,,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,,Iron and Steel Technology,Article,
Examining decision characteristics & challenges for agile software development,Drury-Grogan M.L.; Conboy K.; Acton T.,2017,Agile decision making; Agile software development; Decision characteristics; Decision intelligence; Decision process; Decision quality,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.jss.2017.06.003,Journal of Systems and Software,Article,
An Intelligent Decision Support Framework for Competitiveness Optimization in Indian Shipping and Port Management,Baiju P.; Devi K.,2025,AHP; competitiveness optimization; decision support system; digital port management; Indian ports; maritime logistics; port efficiency; reinforcement learning,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICTBIG68706.2025.11323677,"2025 IEEE 5th International Conference on ICT in Business Industry and Government, ICTBIG 2025",Conference paper,
Crowd evacuation with human-level intelligence via neuro-symbolic approach,Bahamid A.; Mohd Ibrahim A.; Shafie A.A.,2024,Crowd evacuation; Decision intelligence; Deep reinforcement learning; Fuzzy logic; Neuro-symbolic approach,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.aei.2024.102356,Advanced Engineering Informatics,Article,
"Haptic and Biometric Sensor Technologies, Spatial Data Mining and Simulation Modeling Algorithms, and Virtual Navigation and Decision Intelligence Tools across Web3-powered Metaverse Worlds",Goodman C.,2023,haptic and biometric sensor technologies; metaverse; spatial data mining and simulation modeling algorithms; virtual navigation and decision intelligence tools,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.22381/lpi2220232,Linguistic and Philosophical Investigations,Article,
Deep Learning-Based Risk Management in Product Development: Strategies for Uncertainty Mitigation,Govindaraj M.; Budholia R.; Al-Farouni M.; Maxmudovich K.I.; Rajiv Gandhi N.; Anem J.,2024,Deep Learning; Predictive Analytics; Product Development; Risk Management; Uncertainty Mitigation,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICACCM61117.2024.11059115,"3rd International Conference on Advances in Computing, Communication and Materials, ICACCM 2024",Conference paper,
Research of decision fusion for multi-source remote-sensing satellite information based on SVMs and DS evidence theory,Chang Z.; Liao X.; Liu Y.; Wang W.,2011,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/IWACI.2011.6160042,"Proceedings of 4th International Workshop on Advanced Computational Intelligence, IWACI 2011",Conference paper,
Resilient Supply Chain Simulation Using Agent-Based Modeling and Digital Thread Integration,Rao N.S.; Makelberge J.M.T.,2025,Agent Based Modeling; Deep learning; Digital Thread Integration; Supply Chain,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/AECTSD65988.2025.11411236,"Proceedings of the 2025 1st International Conference on Advances in Engineering and Computing Technologies for Sustainable Development, AECTSD 2025",Conference paper,
Reinforcement learning for ridesharing: An extended survey,Qin Z.T.; Zhu H.; Ye J.,2022,Decision intelligence; Multi-agent systems; Reinforcement learning; Ride-pooling; Ridesharing,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.trc.2022.103852,Transportation Research Part C: Emerging Technologies,Review,
From data to decision: distilling decision intelligence from user-generated content,Redek T.; Godnov U.,2024,Consumer-generated content; Decision intelligence; Price competitiveness; Quality competitiveness; Text-mining,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1108/K-08-2023-1447,Kybernetes,Article,
Decision Intelligence for Nationwide Ventilator Allocation During the COVID-19 Pandemic,Xu J.; Sen S.,2021,COVID-19; Decision intelligence; Predictive and Prescriptive modeling; Resource allocation; Stochastic optimization,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/s42979-021-00810-6,SN Computer Science,Article,
Integrating subjective–objective weighting with multi-criteria decision models for sustainable masonry material selection,Nalina M.M.; Dharek M.S.; Keshava M.; Manjunatha M.; Tangadagi R.B.; Sunagar P.; Vikas Gowda K.R.,2026,Alternatives; Building materials; Criteria; Decision-making; Masonry block; Multi-criteria decision-making models; Sustainability,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/s41062-026-02560-x,Innovative Infrastructure Solutions,Article,
Divergent voices: A comparative voice of the customer analysis for redesigning information science curriculum,Chaichuay V.; Sutthiprapa K.; Hoaihongthong S.,2026,Curriculum governance; information science; learning paradigm; measurement models; mixed methods; voice of the customer; work-integrated learning (WIL),Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1177/03400352261436750,IFLA Journal,Article,
Decision Intelligence Empowering Resource Management for 6G-V2X Communications,Zhao J.; Ren R.; Nie Y.; Wang D.,2025,6G vehicle-to-everything (6G-V2X); artificial intelligence (AI); decision intelligence; key performance indicators (KPIs); resource management; Sixth generation (6G),Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MIOT.2025.3575883,IEEE Internet of Things Magazine,Article,
Maintenance Decision Intelligence (MDI) strategy for protection assets while utilizing SmartGridDI™,William E.; Schreiner Z.; Bizjak J.; Petkoski I.,2014,Condition and importance analysis; Decision indices; Intelligent electronic devices (IED); Maintenance decision intelligence (MDI); Maintenance results; Malfunctions statistics; Network operational data; Prioritization of maintenance; Protection assets (PA); Protective asset data,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,,Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,Conference paper,
"Deep Learning for e-Commerce: Recent Developments in Prediction, Personalization and Decision Intelligence",Kostopoulos G.; Stefani A.; Vasiliadis V.; Kotsiantis S.,2026,decision intelligence; deep learning; demand forecasting; e-commerce; fraud detection; multimodal learning; recommendation systems; reinforcement learning; trustworthy artificial intelligence,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/app16052263,Applied Sciences (Switzerland),Review,
Enhancing Decision Intelligence Using Hybrid Machine Learning Framework with Linear Programming for Enterprise Project Selection and Portfolio Optimization,Abdullah; Hafeez N.; Sánchez-Mejorada C.G.; Torres Ruiz M.J.; Quintero Téllez R.; Alex E.A.; Sidorov G.; Gelbukh A.,2026,analytic hierarchy process; decision support systems; expert knowledge embedding; hybrid intelligent systems; machine learning integration; project portfolio management,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/ai7020052,AI (Switzerland),Article,
A Digital Enterprise Architecture Framework for Supply Chain Transformation: Integrating Knowledge Management and the TOE Framework in the FMCG Industry,Jamil M.A.; Bakar N.A.A.; Hussein S.S.; Salehuddin H.; Yahya F.,2025,Digital Supply Chain; Enterprise Architecture; Knowledge Management; Supply Chain Automation; TOE Framework,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-031-95898-4_4,Communications in Computer and Information Science,Conference paper,
Requirements and solutions for personalized health systems,Blobel B.; Ruotsalainen P.; Lopez D.M.; Oemig F.,2017,Architecture; Decision intelligence; Interoperability; Knowledge harmonization; Knowledge management; Knowledge representation; Ontology; Privacy; Security; Trust,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3233/978-1-61499-761-0-3,Studies in Health Technology and Informatics,Conference paper,
Elevating safety and efficiency in mining with Vision AI: From object detection to large language model-driven decision intelligence,Zhang Y.; Zahid M.A.H.; Moodley T.,2026,computer vision; large language models; mining safety; object detection; operational efficiency; Vision AI,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.17159/2411-9717/949/2026,Journal of the Southern African Institute of Mining and Metallurgy,Article,
Generative AI as a Pillar for Predicting 2D and 3D Wildfire Spread: Beyond Physics-Based Models and Traditional Deep Learning,Xu H.; Zlatanova S.; Liang R.; Canbulat I.,2025,2D and 3D fire spread; digital twin; generative AI; large language models; multimodal data fusion; wildfire prediction; wildfire simulation,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/fire8080293,Fire,Review,
The evolution of digital twins within the big BIM data landscape,Sompolgrunk A.; Golzad H.; Liu H.; Banihashemi S.; Najafi M.,2026,AEC industry; Big BIM data; BIM stage 3; Business analytics; Business intelligence; Digital twins; Strategic alignment,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1108/SASBE-11-2025-0753,Smart and Sustainable Built Environment,Article,
"Data and Decision Intelligence for Human-in-the-Loop Cyber-Physical Systems: Reference Model, Recent Progresses and Challenges",Ma M.; Lin W.; Pan D.; Lin Y.; Wang P.; Zhou Y.; Liang X.,2018,Cyber-physical systems; Data intelligence; Decision-making; Human-in-the-loop,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/s11265-017-1304-0,Journal of Signal Processing Systems,Article,
Detecting Outlier Patterns with Query-Based Artificially Generated Searching Conditions,Yu S.; Xia F.; Sun Y.; Tang T.; Yan X.; Lee I.,2021,Heterogeneous network; human behavior; motif; outlier detection; social computing,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/TCSS.2020.2977958,IEEE Transactions on Computational Social Systems,Article,
Energy-Conscious Edge-Assisted IOT Communication Framework Leveraging 5G and AI Technologies,Parvathi S.; Chowdry C.M.; Al-Safarini M.Y.; Chand K.S.S.; Srivardhan Kumar C.H.; Jebastine J.,2025,5G connectivity; Artificial Intelligence; data throughput; Deep reinforcement learning; energy consumption; Internet of Things; IoT communication network,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICONSTEM65670.2025.11374693,"Proceedings of 2025 10th International Conference on Science Technology, Engineering and Mathematics, ICONSTEM 2025",Conference paper,
Image Dehazing Using Generic Model Agnostic Convolutional Neural Network,Khurana G.; Garodia R.; Saranya P.,2023,Convolutional neural network; Deep learning; Image dehazing,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-981-99-5166-6_8,Lecture Notes in Networks and Systems,Conference paper,
DataOps-Oriented Big Data Governance for Automated Decision Pipelines,Orthi S.M.; Sikder T.R.; Uddin S.M.M.; Roy T.; Hossain M.J.; Faruk M.I.; Uddin M.,2025,Big Data Governance; Compliance Automation; Data Lineage; Data Quality; DataOps; Decision Pipelines; Federated Access Control; Metadata Management,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICAFT66710.2025.11452860,"2025 1st International Conference on Advancement in Futuristic Technologies, ICAFT 2025",Conference paper,
